PROVINCE,COUNTY,DISTRICT,LAT,LON,HOUSEHOLDS,ELECTRICITY,PRESSURE_LAMP,LANTERN,TIN_LAMP,GAS_LAMP,FUEL_WOOD,SOLAR,OTHER
RIFT VALLEY,Nandi,NANDI NORTH,0.438611778,35.06077368,31106,1006,87,18027,11171,199,53,510,53
RIFT VALLEY,Nandi,NANDI CENTRAL,0.237462739,35.08490348,28367,1031,104,12619,13941,165,91,390,26
RIFT VALLEY,Nandi,NANDI EAST,0.105368029,35.23779105,25598,1404,81,8179,15492,125,28,267,22
RIFT VALLEY,Nandi,NANDI SOUTH,0.048811478,34.96800793,30768,945,97,11065,18034,165,46,366,50
RIFT VALLEY,Nandi,TINDERET,-0.013491939,35.3167413,14489,323,24,4693,9169,41,53,177,9
RIFT VALLEY,Laikipia,LAIKIPIA NORTH,0.515458301,36.99627658,6360,273,12,1054,2650,61,2118,127,65
RIFT VALLEY,Laikipia,LAIKIPIA EAST,0.093934415,36.95183375,26516,1470,196,10922,10752,213,532,2347,84
RIFT VALLEY,Laikipia,LAIKIPIA WEST,0.39729996,36.5181069,40973,1639,137,16137,17048,360,2528,2977,147
RIFT VALLEY,Nakuru,NAKURU,-0.134672183,36.03461164,33709,5197,124,16264,10076,288,493,1175,92
RIFT VALLEY,Nakuru,NAKURU NORTH,-0.135028953,36.16401596,31938,6369,289,14456,8948,344,93,1362,77
RIFT VALLEY,Nakuru,NAIVASHA,-0.727134387,36.33344468,36293,3496,146,15758,14156,130,461,1759,387
RIFT VALLEY,Nakuru,MOLO,-0.409755795,35.75756717,94283,4840,376,45761,37919,571,1928,2668,220
RIFT VALLEY,Narok,NAROK NORTH,-0.959555087,35.99464674,42982,625,260,11935,24548,291,4450,360,513
RIFT VALLEY,Narok,NAROK SOUTH,-1.402738483,35.5807782,62412,1466,270,21130,29019,289,8031,1203,1004
RIFT VALLEY,Kajiado,KAJIADO CENTRAL,-2.133910157,36.89341002,26352,639,72,5127,18698,85,1114,226,391
RIFT VALLEY,Kajiado,LOITOKITOK,-2.635934635,37.47875865,25565,529,364,5365,17105,122,1218,531,331
RIFT VALLEY,Kericho,KERICHO,-0.34219841,35.21130866,53136,3175,270,24734,23588,285,139,910,35
RIFT VALLEY,Kericho,KIPKELION,-0.155533799,35.47881562,23675,372,37,9321,13206,106,160,446,27
RIFT VALLEY,Bomet,BURET,-0.547074877,35.3033778,58138,2707,215,35781,17074,331,623,1310,97
RIFT VALLEY,Bomet,SOTIK,-0.759704345,35.1490337,33625,765,103,20661,10666,199,119,1053,59
RIFT VALLEY,Bomet,BOMET,-0.840969003,35.31899335,56084,747,151,38772,13354,386,460,1974,240
RIFT VALLEY,Kajiado,KAJIADO NORTH,-1.646437311,36.44660994,34427,9694,234,7119,14578,223,1285,768,526
RIFT VALLEY,Turkana,TURKANA CENTRAL,3.05371677,35.44299468,9903,1569,37,2742,2909,46,1998,255,347
RIFT VALLEY,Turkana,TURKANA NORTH,4.31378822,35.09717514,13212,844,108,2857,4431,113,3420,195,1244
RIFT VALLEY,Turkana,TURKANA SOUTH,2.078370044,35.99979492,0,0,0,0,0,0,0,0,0
RIFT VALLEY,West Pokot,WEST POKOT,1.492414256,35.16354392,9054,1910,42,3890,2915,38,191,47,21
RIFT VALLEY,West Pokot,POKOT CENTRAL,1.491213025,35.49402215,0,0,0,0,0,0,0,0,0
RIFT VALLEY,Samburu,SAMBURU CENTRAL,1.09166901,36.71442163,4520,2172,24,1021,1033,104,99,49,18
RIFT VALLEY,Samburu,SAMBURU EAST,1.081019259,37.47389892,2859,181,9,1016,704,11,704,188,46
RIFT VALLEY,Samburu,SAMBURU NORTH,1.789437949,36.83086912,1648,46,1,440,544,90,485,40,2
RIFT VALLEY,Trans Nzoia,TRANS NZOIA WEST,0.942674226,34.89426897,37131,11177,291,14775,10263,122,193,192,118
RIFT VALLEY,Trans Nzoia,TRANS NZOIA EAST,1.022635873,35.18029104,0,0,0,0,0,0,0,0,0
RIFT VALLEY,Trans Nzoia,KWANZA,1.134996095,34.85810469,4116,177,28,1423,2434,24,12,13,5
RIFT VALLEY,Baringo,BARINGO,0.448155493,35.97415916,7629,3434,36,2588,1323,26,142,57,23
RIFT VALLEY,Baringo,BARINGO NORTH,0.745856425,35.80555092,0,0,0,0,0,0,0,0,0
RIFT VALLEY,Baringo,EAST POKOT,1.049001072,36.01860317,0,0,0,0,0,0,0,0,0
RIFT VALLEY,Baringo,KOIBATEK,0.105862677,35.86953085,8163,2652,31,3317,1952,17,30,126,38
